Path	Lines	Status
GlobalHr.SuiteGuiTests.SuiteHrTests.ContactsTests.EssChkAddressIfDifferent	94	Not Started
GlobalHr.SuiteGuiTests.SuiteSettings.CompensationManagement.DbChecks	94	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.UnregisteredPk.GlobalMss.JobsTab	95	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteTerminationReasons.DelTermRsn	95	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.UxImpactHr	95	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.ContactsTests.EeadminChkAddressIfDifferent	95	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.UnregisteredPk.GlobalEeadm.JobsTab	95	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.ContactsTests.EeadminChkAddressIfDifferentGlobal	95	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.TestStartPageUiFr	96	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.TestStartPageUi	96	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.TestStartPageUiEs	96	Not Started
GlobalHr.SuiteGuiTests.Google508Compliance.TabbingSequentiallyThroughtMenusTest	96	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteSystemSettings.TestFutureDating	96	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.CanadaTransferTests.SuiteDatesPage.TestPageUiEs	97	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.SuiteCalcRules.TestGarnNoJurisdOrPlan	97	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.CanadaTransferTests.SuiteDatesPage.TestPageUiFr	98	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteDeductionBenefitPlans.TestCalculationPageWithGlobalEmployee	101	Not Started
GlobalHr.SuiteGuiTests.SuiteWebFramework.MyEmployeesSearch	101	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.JobTests.VariablePayJobHistory	102	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.CompanyCodeFilteringShouldNotFilter	102	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.RegisteredPk.GlobalEeadm.BenefitsTab	104	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteSalaryDiff.Test13Locations	106	Not Started
